WeekStarting,dom_qty
1991-06-13,13878
1991-06-20,9393
1991-06-27,17529
1991-07-04,12649
1991-07-11,13163
1991-07-18,12975
1991-07-25,10270
1991-08-01,12582
1991-08-08,18375
1991-08-15,11935
1991-08-22,12964
1991-08-29,15746
1991-09-05,11215
1991-09-12,15282
1991-09-19,12822
1991-09-26,17638
1991-10-03,19187
1991-10-10,10576
1991-10-17,11277
1991-10-24,16909
1991-10-31,10760
1991-11-07,16246
1991-11-14,15698
1991-11-21,10016
1991-11-28,17909
1991-12-05,16368
1991-12-12,13133
1991-12-19,14019
1991-12-26,10252
1992-01-02,14028
1992-01-09,19823
1992-01-16,9248
1992-01-23,19523
1992-01-30,9270
1992-02-06,10254
1992-02-13,19223
1992-02-20,11534
1992-02-27,14373
1992-03-05,17624
1992-03-12,19000
1992-03-19,15262
1992-03-26,17371
1992-04-02,18893
1992-04-09,19134
1992-04-16,19023
1992-04-23,11139
1992-04-30,19980
1992-05-07,11773
1992-05-14,17077
1992-05-21,10912
1992-05-28,9866
1992-06-04,11050
1992-06-11,17071
1992-06-18,15472
1992-06-25,12807
