WeekStarting,dom_qty
1990-06-14,18800
1990-06-21,19493
1990-06-28,13994
1990-07-05,19658
1990-07-12,19767
1990-07-19,19466
1990-07-26,15906
1990-08-02,15934
1990-08-09,9829
1990-08-16,19315
1990-08-23,16144
1990-08-30,11456
1990-09-06,12137
1990-09-13,13024
1990-09-20,12081
1990-09-27,10651
1990-10-04,13747
1990-10-11,11478
1990-10-18,19467
1990-10-25,19041
1990-11-01,16587
1990-11-08,11246
1990-11-15,15279
1990-11-22,16591
1990-11-29,12648
1990-12-06,10277
1990-12-13,10554
1990-12-20,9155
1990-12-27,15497
1991-01-03,18074
1991-01-10,14604
1991-01-17,11833
1991-01-24,12910
1991-01-31,16341
1991-02-07,17876
1991-02-14,19109
1991-02-21,14804
1991-02-28,14475
1991-03-07,9244
1991-03-14,14700
1991-03-21,18612
1991-03-28,15060
1991-04-04,18886
1991-04-11,16759
1991-04-18,19407
1991-04-25,19122
1991-05-02,17212
1991-05-09,14253
1991-05-16,14311
1991-05-23,10977
1991-05-30,11569
1991-06-06,9460
1991-06-13,13878
1991-06-20,9393
1991-06-27,17529
1991-07-04,12649
1991-07-11,13163
1991-07-18,12975
1991-07-25,10270
1991-08-01,12582
1991-08-08,18375
1991-08-15,11935
1991-08-22,12964
1991-08-29,15746
1991-09-05,11215
1991-09-12,15282
1991-09-19,12822
1991-09-26,17638
1991-10-03,19187
1991-10-10,10576
1991-10-17,11277
1991-10-24,16909
1991-10-31,10760
1991-11-07,16246
1991-11-14,15698
1991-11-21,10016
1991-11-28,17909
1991-12-05,16368
1991-12-12,13133
1991-12-19,14019
1991-12-26,10252
1992-01-02,14028
1992-01-09,19823
1992-01-16,9248
1992-01-23,19523
1992-01-30,9270
1992-02-06,10254
1992-02-13,19223
1992-02-20,11534
1992-02-27,14373
1992-03-05,17624
1992-03-12,19000
1992-03-19,15262
1992-03-26,17371
1992-04-02,18893
1992-04-09,19134
1992-04-16,19023
1992-04-23,11139
1992-04-30,19980
1992-05-07,11773
1992-05-14,17077
1992-05-21,10912
1992-05-28,9866
1992-06-04,11050
1992-06-11,17071
1992-06-18,15472
1992-06-25,12807
1992-07-02,12782
1992-07-09,11395
1992-07-16,10108
1992-07-23,13583
1992-07-30,12867
1992-08-06,15025
1992-08-13,19059
1992-08-20,11825
1992-08-27,12767
1992-09-03,15526
1992-09-10,13112
1992-09-17,17214
1992-09-24,11032
1992-10-01,9164
