WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,1582,dominicks,19328,1,2.26,43681.28
1990-06-21,1582,dominicks,18093,1,2.5,45232.5
1990-06-28,1582,dominicks,19034,1,2.41,45871.94
1990-07-05,1582,dominicks,12334,1,2.24,27628.160000000003
1990-07-12,1582,dominicks,10990,1,2.51,27584.899999999998
1990-07-19,1582,dominicks,18399,1,2.58,47469.42
1990-07-26,1582,dominicks,9744,1,2.3,22411.199999999997
1990-08-02,1582,dominicks,17796,1,2.19,38973.24
1990-08-09,1582,dominicks,17326,1,2.09,36211.34
1990-08-16,1582,dominicks,15152,1,2.36,35758.72
1990-08-23,1582,dominicks,11965,1,2.25,26921.25
1990-08-30,1582,dominicks,10158,1,1.97,20011.26
1990-09-06,1582,dominicks,11073,1,2.61,28900.53
1990-09-13,1582,dominicks,14587,1,2.44,35592.28
1990-09-20,1582,dominicks,10712,1,2.19,23459.28
1990-09-27,1582,dominicks,11979,1,2.24,26832.960000000003
1990-10-04,1582,dominicks,16271,1,2.34,38074.14
1990-10-11,1582,dominicks,19738,1,2.21,43620.979999999996
1990-10-18,1582,dominicks,9496,1,2.48,23550.079999999998
1990-10-25,1582,dominicks,9316,1,2.32,21613.12
1990-11-01,1582,dominicks,11851,1,2.68,31760.68
1990-11-08,1582,dominicks,17037,1,2.53,43103.60999999999
1990-11-15,1582,dominicks,14837,1,2.42,35905.54
1990-11-22,1582,dominicks,19095,1,2.53,48310.35
1990-11-29,1582,dominicks,16165,1,2.04,32976.6
1990-12-06,1582,dominicks,15697,1,2.09,32806.729999999996
1990-12-13,1582,dominicks,13899,1,2.02,28075.98
1990-12-20,1582,dominicks,16619,1,2.3,38223.7
1990-12-27,1582,dominicks,16995,1,2.33,39598.35
1991-01-03,1582,dominicks,9224,1,2.61,24074.64
1991-01-10,1582,dominicks,18131,1,2.39,43333.090000000004
1991-01-17,1582,dominicks,11970,1,2.05,24538.499999999996
1991-01-24,1582,dominicks,10986,1,2.47,27135.420000000002
1991-01-31,1582,dominicks,14096,1,2.33,32843.68
1991-02-07,1582,dominicks,18302,1,2.17,39715.34
1991-02-14,1582,dominicks,17865,1,2.46,43947.9
1991-02-21,1582,dominicks,17603,1,1.94,34149.82
1991-02-28,1582,dominicks,12724,1,2.46,31301.04
1991-03-07,1582,dominicks,14295,1,2.51,35880.45
1991-03-14,1582,dominicks,14600,1,2.49,36354.0
1991-03-21,1582,dominicks,11684,1,2.19,25587.96
1991-03-28,1582,dominicks,12877,1,2.18,28071.86
1991-04-04,1582,dominicks,19816,1,1.98,39235.68
1991-04-11,1582,dominicks,16977,1,2.02,34293.54
1991-04-18,1582,dominicks,15316,1,2.01,30785.159999999996
1991-04-25,1582,dominicks,12770,1,2.08,26561.600000000002
1991-05-02,1582,dominicks,10489,1,1.97,20663.329999999998
1991-05-09,1582,dominicks,15905,1,2.12,33718.6
1991-05-16,1582,dominicks,17402,1,2.35,40894.700000000004
1991-05-23,1582,dominicks,14415,1,2.06,29694.9
1991-05-30,1582,dominicks,12757,1,1.93,24621.01
1991-06-06,1582,dominicks,14483,1,2.21,32007.43
1991-06-13,1582,dominicks,17131,1,2.62,44883.22
1991-06-20,1582,dominicks,9537,1,2.67,25463.79
1991-06-27,1582,dominicks,10712,1,2.64,28279.68
1991-07-04,1582,dominicks,14027,1,2.09,29316.429999999997
1991-07-11,1582,dominicks,15742,1,2.02,31798.84
1991-07-18,1582,dominicks,14610,1,2.2,32142.000000000004
1991-07-25,1582,dominicks,14693,1,2.1,30855.300000000003
1991-08-01,1582,dominicks,10108,1,2.41,24360.280000000002
1991-08-08,1582,dominicks,17425,1,2.06,35895.5
1991-08-15,1582,dominicks,17878,1,1.9,33968.2
1991-08-22,1582,dominicks,17846,1,2.22,39618.12
1991-08-29,1582,dominicks,16021,1,2.1,33644.1
1991-09-05,1582,dominicks,16541,1,2.08,34405.28
1991-09-12,1582,dominicks,17912,1,2.2,39406.4
1991-09-19,1582,dominicks,15742,1,2.31,36364.020000000004
1991-09-26,1582,dominicks,17858,1,2.0,35716.0
1991-10-03,1582,dominicks,11878,1,2.3,27319.399999999998
1991-10-10,1582,dominicks,16755,1,2.25,37698.75
1991-10-17,1582,dominicks,16315,1,2.28,37198.2
1991-10-24,1582,dominicks,9078,1,2.32,21060.96
1991-10-31,1582,dominicks,9314,1,2.44,22726.16
