WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,360,tropicana,19003,1,2.29,43516.87
1990-06-21,360,tropicana,14411,1,1.93,27813.23
1990-06-28,360,tropicana,15165,1,2.16,32756.4
1990-07-05,360,tropicana,11589,1,2.63,30479.07
1990-07-12,360,tropicana,18627,1,2.36,43959.72
1990-07-19,360,tropicana,14376,1,2.51,36083.759999999995
1990-07-26,360,tropicana,11149,1,2.69,29990.809999999998
1990-08-02,360,tropicana,17042,1,2.16,36810.72
1990-08-09,360,tropicana,16715,1,2.34,39113.1
1990-08-16,360,tropicana,12759,1,1.96,25007.64
1990-08-23,360,tropicana,15163,1,1.9,28809.699999999997
1990-08-30,360,tropicana,13935,1,2.38,33165.299999999996
1990-09-06,360,tropicana,18052,1,1.98,35742.96
1990-09-13,360,tropicana,11796,1,2.47,29136.120000000003
1990-09-20,360,tropicana,13935,1,2.41,33583.35
1990-09-27,360,tropicana,15877,1,2.44,38739.88
1990-10-04,360,tropicana,12020,1,2.14,25722.800000000003
1990-10-11,360,tropicana,16735,1,2.29,38323.15
1990-10-18,360,tropicana,14725,1,2.51,36959.75
1990-10-25,360,tropicana,9446,1,1.91,18041.86
1990-11-01,360,tropicana,11080,1,2.52,27921.6
1990-11-08,360,tropicana,12033,1,1.97,23705.01
1990-11-15,360,tropicana,13753,1,2.55,35070.149999999994
1990-11-22,360,tropicana,10508,1,2.51,26375.079999999998
1990-11-29,360,tropicana,12414,1,2.65,32897.1
1990-12-06,360,tropicana,9180,1,2.44,22399.2
1990-12-13,360,tropicana,10959,1,2.35,25753.65
1990-12-20,360,tropicana,16649,1,2.62,43620.380000000005
1990-12-27,360,tropicana,17115,1,2.4,41076.0
1991-01-03,360,tropicana,18961,1,2.43,46075.23
1991-01-10,360,tropicana,12245,1,2.36,28898.199999999997
1991-01-17,360,tropicana,17387,1,2.16,37555.920000000006
1991-01-24,360,tropicana,18123,1,1.92,34796.159999999996
1991-01-31,360,tropicana,12802,1,2.19,28036.38
1991-02-07,360,tropicana,11908,1,2.25,26793.0
1991-02-14,360,tropicana,10249,1,2.05,21010.449999999997
1991-02-21,360,tropicana,17940,1,2.04,36597.6
1991-02-28,360,tropicana,19863,1,2.37,47075.310000000005
1991-03-07,360,tropicana,11902,1,2.49,29635.980000000003
1991-03-14,360,tropicana,13500,1,2.13,28755.0
1991-03-21,360,tropicana,17638,1,2.23,39332.74
1991-03-28,360,tropicana,17882,1,2.36,42201.52
1991-04-04,360,tropicana,19570,1,2.6,50882.0
1991-04-11,360,tropicana,13142,1,2.11,27729.62
1991-04-18,360,tropicana,11960,1,2.14,25594.4
1991-04-25,360,tropicana,14005,1,2.5,35012.5
1991-05-02,360,tropicana,10508,1,2.24,23537.920000000002
1991-05-09,360,tropicana,12750,1,2.35,29962.5
1991-05-16,360,tropicana,14620,1,2.45,35819.0
1991-05-23,360,tropicana,19889,1,2.32,46142.479999999996
1991-05-30,360,tropicana,12459,1,2.5,31147.5
1991-06-06,360,tropicana,9225,1,2.66,24538.5
1991-06-13,360,tropicana,17887,1,1.91,34164.17
1991-06-20,360,tropicana,17766,1,2.23,39618.18
1991-06-27,360,tropicana,10955,1,2.09,22895.949999999997
1991-07-04,360,tropicana,10107,1,2.08,21022.56
1991-07-11,360,tropicana,14360,1,2.07,29725.199999999997
1991-07-18,360,tropicana,10819,1,1.92,20772.48
1991-07-25,360,tropicana,16348,1,1.92,31388.16
1991-08-01,360,tropicana,17922,1,2.39,42833.58
1991-08-08,360,tropicana,14918,1,2.44,36399.92
1991-08-15,360,tropicana,14151,1,2.01,28443.51
1991-08-22,360,tropicana,17597,1,2.06,36249.82
1991-08-29,360,tropicana,11224,1,1.93,21662.32
1991-09-05,360,tropicana,13067,1,2.47,32275.49
1991-09-12,360,tropicana,10144,1,1.99,20186.56
1991-09-19,360,tropicana,16024,1,2.37,37976.880000000005
1991-09-26,360,tropicana,18580,1,2.29,42548.2
