WeekStarting,Store,Brand,Quantity,Advert,Price,Revenue
1990-06-14,851,minute.maid,11370,1,2.16,24559.2
1990-06-21,851,minute.maid,9630,1,2.11,20319.3
1990-06-28,851,minute.maid,13583,1,2.61,35451.63
1990-07-05,851,minute.maid,9509,1,2.46,23392.14
1990-07-12,851,minute.maid,19516,1,2.2,42935.200000000004
1990-07-19,851,minute.maid,15193,1,2.2,33424.600000000006
1990-07-26,851,minute.maid,19628,1,2.18,42789.04
1990-08-02,851,minute.maid,17167,1,2.45,42059.15
1990-08-09,851,minute.maid,11510,1,1.9,21869.0
1990-08-16,851,minute.maid,17763,1,2.04,36236.520000000004
1990-08-23,851,minute.maid,9214,1,2.14,19717.960000000003
1990-08-30,851,minute.maid,12533,1,2.25,28199.25
1990-09-06,851,minute.maid,15205,1,2.64,40141.200000000004
1990-09-13,851,minute.maid,13566,1,2.53,34321.979999999996
1990-09-20,851,minute.maid,11558,1,2.01,23231.579999999998
1990-09-27,851,minute.maid,13401,1,2.32,31090.319999999996
1990-10-04,851,minute.maid,17728,1,1.93,34215.04
1990-10-11,851,minute.maid,9054,1,2.37,21457.98
1990-10-18,851,minute.maid,16152,1,2.51,40541.52
1990-10-25,851,minute.maid,12744,1,2.13,27144.719999999998
1990-11-01,851,minute.maid,12515,1,2.69,33665.35
1990-11-08,851,minute.maid,16653,1,2.51,41799.03
1990-11-15,851,minute.maid,10251,1,1.92,19681.92
1990-11-22,851,minute.maid,12059,1,2.15,25926.85
1990-11-29,851,minute.maid,13744,1,2.21,30374.239999999998
1990-12-06,851,minute.maid,18698,1,2.32,43379.36
1990-12-13,851,minute.maid,15290,1,2.16,33026.4
1990-12-20,851,minute.maid,13675,1,2.5,34187.5
1990-12-27,851,minute.maid,9003,1,2.16,19446.48
1991-01-03,851,minute.maid,17236,1,1.97,33954.92
1991-01-10,851,minute.maid,9342,1,2.54,23728.68
1991-01-17,851,minute.maid,12463,1,2.14,26670.820000000003
1991-01-24,851,minute.maid,16923,1,1.93,32661.39
1991-01-31,851,minute.maid,14760,1,2.15,31734.0
1991-02-07,851,minute.maid,14360,1,1.91,27427.6
1991-02-14,851,minute.maid,15213,1,2.0,30426.0
1991-02-21,851,minute.maid,17355,1,2.6,45123.0
1991-02-28,851,minute.maid,15924,1,2.45,39013.8
1991-03-07,851,minute.maid,16511,1,1.9,31370.899999999998
1991-03-14,851,minute.maid,17424,1,2.34,40772.159999999996
1991-03-21,851,minute.maid,13625,1,2.6,35425.0
1991-03-28,851,minute.maid,18095,1,2.14,38723.3
1991-04-04,851,minute.maid,13591,1,2.24,30443.840000000004
1991-04-11,851,minute.maid,10528,1,2.14,22529.920000000002
1991-04-18,851,minute.maid,12665,1,2.26,28622.899999999998
1991-04-25,851,minute.maid,16677,1,2.01,33520.77
1991-05-02,851,minute.maid,12695,1,2.24,28436.800000000003
1991-05-09,851,minute.maid,17909,1,2.63,47100.67
1991-05-16,851,minute.maid,15172,1,2.27,34440.44
1991-05-23,851,minute.maid,12540,1,2.41,30221.4
1991-05-30,851,minute.maid,18539,1,2.01,37263.39
1991-06-06,851,minute.maid,10526,1,2.0,21052.0
1991-06-13,851,minute.maid,18264,1,2.37,43285.68
1991-06-20,851,minute.maid,18180,1,2.53,45995.399999999994
1991-06-27,851,minute.maid,18955,1,2.21,41890.55
1991-07-04,851,minute.maid,10439,1,2.39,24949.210000000003
1991-07-11,851,minute.maid,19600,1,2.29,44884.0
1991-07-18,851,minute.maid,14933,1,2.69,40169.77
